id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,baths
801699,"Dupont Circle, Connecticut Avenue/K Street",38.91069,-77.04186,Entire home/apt,140.0,180,24,1,0,0,4.91,1.0,1.0
815855,"Shaw, Logan Circle",38.90881,-77.02255,Entire home/apt,63.0,31,166,3,160,5,4.21,1.0,1.0
828497,"Friendship Heights, American University Park, Tenleytown",38.94291,-77.07173,Private room,169.0,3,114,1,0,18,4.89,3.0,2.0
842418,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89898,-77.01629,Entire home/apt,250.0,31,67,1,90,0,4.78,1.0,5.0
860336,"Dupont Circle, Connecticut Avenue/K Street",38.90847,-77.04681,Private room,89.0,1,525,4,121,41,4.74,1.0,1.0
873182,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95345,-76.99504,Entire home/apt,125.0,7,47,1,2,3,4.62,1.0,1.0
886283,"Friendship Heights, American University Park, Tenleytown",38.94492,-77.09234,Entire home/apt,100.0,30,55,1,53,1,4.63,1.0,1.0
889302,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91902,-77.04261,Entire home/apt,139.0,4,125,1,0,4,4.74,2.0,1.0
898543,"West End, Foggy Bottom, GWU",38.90153,-77.05434,Entire home/apt,165.0,31,164,2,89,2,4.91,3.0,2.0
898544,"West End, Foggy Bottom, GWU",38.8996,-77.05277,Entire home/apt,180.0,31,128,2,201,0,4.91,3.0,2.0
902573,"Shaw, Logan Circle",38.91054,-77.02149,Private room,89.0,31,23,4,363,0,4.74,1.0,1.0
925318,"Brightwood Park, Crestwood, Petworth",38.9413,-77.03284,Private room,50.0,31,8,1,357,0,4.75,1.0,1.0
945426,"Friendship Heights, American University Park, Tenleytown",38.9604,-77.08253,Private room,92.0,2,459,1,296,64,4.96,1.0,1.0
997859,"Dupont Circle, Connecticut Avenue/K Street",38.9135,-77.04356,Entire home/apt,123.0,31,94,4,207,1,4.83,3.0,2.0
1048410,"Brightwood Park, Crestwood, Petworth",38.95132,-77.02831,Entire home/apt,70.0,31,50,1,177,0,4.74,1.0,1.0
1075426,"Capitol Hill, Lincoln Park",38.88458,-77.00118,Entire home/apt,130.0,31,5,1,363,0,4.2,3.0,2.0
1083336,"Brightwood Park, Crestwood, Petworth",38.95152,-77.021,Entire home/apt,264.0,31,324,2,260,0,4.84,4.0,5.0
1092713,"Dupont Circle, Connecticut Avenue/K Street",38.90989,-77.04602,Entire home/apt,109.0,1,441,4,0,26,4.57,1.0,1.0
1112617,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91843,-77.04338,Entire home/apt,110.0,31,188,2,79,3,4.81,1.0,1.0
1126839,"Howard University, Le Droit Park, Cardozo/Shaw",38.91491,-77.02544,Entire home/apt,160.0,120,58,1,179,0,4.93,2.0,2.0
1177438,"Union Station, Stanton Park, Kingman Park",38.90419,-77.0022,Entire home/apt,147.0,3,279,3,84,18,4.76,2.0,2.0
1225965,"Cathedral Heights, McLean Gardens, Glover Park",38.93152,-77.08399,Entire home/apt,325.0,31,14,1,365,0,4.43,1.0,1.0
1245292,"Hawthorne, Barnaby Woods, Chevy Chase",38.96594,-77.078,Private room,69.0,31,356,4,276,5,4.91,1.0,1.0
1336217,"Cathedral Heights, McLean Gardens, Glover Park",38.92090039016265,-77.07768982807863,Entire home/apt,146.0,2,20,1,69,20,5.0,1.0,1.0
1407284,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92489,-77.02806,Private room,60.0,31,31,3,44,1,4.45,1.0,1.0
